name,group,physician_number,mental_demand,physical_demand,temporal_demand,performance,effort,frustration
Clinician 1,senior,1,5,3,5,18,3,3
Clinician 2,intern,2,2,1,3,18,2,1
Clinician 3,intern,3,1,1,1,15,4,10
Clinician 4,intern,4,1,1,1,20,1,1
Clinician 5,intern,5,5,1,4,20,3,3
Clinician 6,intern,6,17,11,18,5,14,7
Clinician 7,junior,7,2,1,2,11,2,1
Clinician 8,senior,8,10,10,10,15,10,5
Clinician 9,junior,9,10,1,1,20,1,3
Clinician 10,senior,10,1,1,1,20,1,1
Clinician 11,middle,11,4,2,12,18,2,1
Clinician 12,middle,12,1,1,5,10,2,2
Clinician 13,middle,13,10,1,2,18,5,1
Clinician 14,middle,14,1,1,1,19,1,1
Clinician 15,intern,15,4,2,12,18,2,1
Clinician 16,intern,16,3,1,1,17,1,2
Clinician 17,middle,17,3,4,3,17,2,2
Clinician 18,intern,18,1,1,5,10,2,2
Clinician 19,middle,19,8,5,8,13,8,10
Clinician 20,senior,20,7,5,5,9,4,6
Clinician 21,senior,21,8,2,10,10,5,2
Clinician 22,middle,22,6,5,5,14,6,1
Clinician 23,middle,23,3,3,5,8,3,2
Clinician 24,middle,24,1,2,1,12,1,1
Clinician 25,middle,25,5,4,4,16,4,15
Clinician 26,middle,26,3,3,3,10,5,1
Clinician 27,senior,27,6,6,2,12,4,5
Clinician 28,junior,28,1,1,5,11,1,17
Clinician 29,senior,29,2,2,3,20,3,1
Clinician 30,middle,30,4,2,4,16,3,1
Clinician 31,intern,31,2,1,4,18,2,6
Clinician 32,junior,32,3,3,3,11,5,13
Clinician 33,intern,33,1,1,1,20,1,1
Clinician 34,middle,34,4,4,4,14,2,2
Clinician 35,junior,35,10,1,12,18,10,1
Clinician 36,junior,36,1,1,1,19,1,1
Clinician 37,intern,37,5,2,2,15,2,5
Clinician 38,intern,38,5,2,2,15,2,2
Clinician 39,senior,39,2,5,2,9,2,12
Clinician 40,senior,40,5,8,1,11,2,3
Clinician 41,senior,41,13,10,2,14,7,5
Clinician 42,junior,42,2,5,3,20,1,1
Clinician 43,middle,43,5,5,5,18,5,1
Clinician 44,junior,44,6,4,5,14,7,2
Clinician 45,senior,45,5,1,5,13,5,1
